"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 07 16:24:14 UTC 2025","Fri Feb 07 16:24:14 UTC 2025","23","services.ozon.tests","test_any_endpoints","TestRequests","","","Test POST anything endpoint",""
"passed","Fri Feb 07 16:24:14 UTC 2025","Fri Feb 07 16:24:14 UTC 2025","712","services.ozon.tests","test_any_endpoints","TestRequests","","","Test GET anything endpoint",""
